person_age,monthly_salary,person_income,loan_amnt,loan_tenure_months,loan_category,bank_roi,cibil_score,monthly_emi,emi_to_salary_ratio,savings_to_expense_ratio,night_transaction_ratio,cb_person_default_on_file,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_int_rate,loan_percent_income,cb_person_default_on_file_yn,cb_person_cred_hist_length,loan_status
52,64065.35,768784.2,714343.13,36,Home,10.98,704,23378.84,0.364922,0.162311,0.080867,0,OWN,1.53,HOMEIMPROVEMENT,C,10.98,0.929186,N,35.74,0
28,16241.47,194897.64,113242.9,36,Personal,14.83,641,3916.39,0.241135,0.106503,0.035011,0,RENT,6.52,PERSONAL,D,14.83,0.581038,N,9.05,0
39,17860.04,214320.48,150326.84,48,Home,8.5,641,3705.3,0.207463,0.08554,0.036341,0,RENT,11.13,HOMEIMPROVEMENT,D,8.5,0.701411,N,22.89,0
26,43814.63,525775.56,575544.96,9,Education,8.87,600,66336.69,1.514031,0.05,0.202251,0,RENT,8.0,EDUCATION,E,8.87,1.0,N,7.19,1
48,69211.79,830541.48,774219.4,36,Auto,11.35,614,25473.77,0.368055,0.293616,0.00562,0,RENT,2.03,VENTURE,E,11.35,0.932186,N,29.45,1
40,71158.87,853906.44,1562829.99,12,Personal,13.88,671,140234.6,1.970726,0.33377,0.115391,0,MORTGAGE,5.69,PERSONAL,C,13.88,1.0,N,22.33,1
34,133177.72,1598132.64,3046327.27,24,Personal,14.36,750,146782.98,1.102159,0.134431,0.111471,1,MORTGAGE,5.61,PERSONAL,B,14.36,1.0,Y,12.55,0
30,54141.61,649699.32,558345.54,24,Auto,11.28,756,26096.88,0.482012,0.065264,0.172848,0,RENT,3.3,VENTURE,B,11.28,0.859391,N,11.84,1
43,41208.85,494506.2,996704.58,12,Education,9.33,516,87316.41,2.118875,0.219474,0.11927,1,MORTGAGE,4.72,EDUCATION,F,9.33,1.0,Y,25.51,1
47,23519.48,282233.76,428127.35,12,Home,8.76,573,37393.45,1.589893,0.095319,0.182814,0,RENT,9.6,HOMEIMPROVEMENT,E,8.76,1.0,N,28.85,1
58,40913.83,490965.96,654859.01,36,Auto,13.75,701,22301.71,0.54509,0.121961,0.162134,1,MORTGAGE,3.17,VENTURE,C,13.75,1.0,Y,41.9,1
38,78788.13,945457.56,377200.18,36,Personal,13.5,660,12799.9,0.16246,0.117906,0.029872,0,OWN,6.63,PERSONAL,D,13.5,0.39896,N,19.37,0
27,80953.75,971445.0,981043.82,60,Personal,14.31,787,22986.05,0.28394,0.204818,0.107273,0,MORTGAGE,9.0,PERSONAL,B,14.31,1.0,N,10.26,0
54,60401.63,724819.56,546564.91,24,Home,13.73,749,26172.41,0.433306,0.172314,0.10191,0,RENT,7.81,HOMEIMPROVEMENT,B,13.73,0.75407,N,36.73,0
46,71558.38,858700.56,568072.35,9,Home,8.5,574,65375.66,0.913599,0.082946,0.117185,0,OWN,0.67,HOMEIMPROVEMENT,E,8.5,0.661549,N,27.3,1
49,110838.57,1330062.84,1801535.37,24,Home,8.5,384,81890.01,0.738822,0.05,0.223052,1,RENT,8.7,HOMEIMPROVEMENT,G,8.5,1.0,Y,31.62,1
24,53914.95,646979.4,191697.3,48,Personal,10.24,697,4884.23,0.090591,0.262577,0.261611,0,OWN,6.0,PERSONAL,C,10.24,0.296296,N,5.47,0
33,117054.08,1404648.96,933654.85,12,Personal,8.67,673,81504.61,0.696299,0.065757,0.249085,0,MORTGAGE,10.75,PERSONAL,C,8.67,0.664689,N,15.05,0
51,33323.29,399879.48,533117.43,9,Personal,13.33,652,62574.73,1.877808,0.05,0.246911,1,MORTGAGE,6.11,PERSONAL,D,13.33,1.0,Y,33.59,1
54,49317.06,591804.72,242791.71,48,Education,8.79,589,6018.25,0.122032,0.2914,0.002905,0,MORTGAGE,11.05,EDUCATION,E,8.79,0.410256,N,34.91,0
38,38619.02,463428.24,570175.55,9,Personal,11.26,711,66361.02,1.718351,0.05,0.249884,0,RENT,4.75,PERSONAL,C,11.26,1.0,N,20.45,1
53,82919.3,995031.6,1595674.07,24,Auto,11.24,738,74548.36,0.899047,0.095185,0.260932,0,RENT,5.3,VENTURE,C,11.24,1.0,N,35.6,1
54,28037.81,336453.72,417062.2,24,Personal,12.48,707,19725.88,0.703546,0.094867,0.14674,0,MORTGAGE,3.89,PERSONAL,C,12.48,1.0,N,37.52,1
36,42486.46,509837.52,243549.04,9,Personal,15.23,633,28806.73,0.678021,0.05,0.197537,0,MORTGAGE,3.31,PERSONAL,D,15.23,0.477699,N,17.95,1
56,16885.22,202622.64,222165.91,60,Personal,13.25,662,5083.17,0.301042,0.208442,0.076329,1,OWN,7.24,PERSONAL,D,13.25,1.0,Y,40.54,0
32,73616.59,883399.08,1247679.26,36,Home,8.5,576,39386.16,0.535017,0.236005,0.193363,0,MORTGAGE,1.85,HOMEIMPROVEMENT,E,8.5,1.0,N,13.73,0
30,108887.9,1306654.8,876799.89,24,Personal,11.23,579,40960.07,0.376167,0.301503,0.044021,0,MORTGAGE,5.34,PERSONAL,E,11.23,0.671026,N,12.31,0
48,89002.95,1068035.4,1693026.98,24,Home,8.77,793,77166.16,0.867007,0.126406,0.239997,0,MORTGAGE,3.73,HOMEIMPROVEMENT,B,8.77,1.0,N,28.18,1
46,83916.42,1006997.04,716110.97,36,Home,13.75,713,24387.14,0.290612,0.082266,0.002975,0,RENT,2.9,HOMEIMPROVEMENT,C,13.75,0.711135,N,29.9,1
26,85275.31,1023303.72,418322.73,48,Education,13.49,688,11325.42,0.13281,0.111971,0.079616,0,MORTGAGE,1.8,EDUCATION,C,13.49,0.408796,N,5.12,0
54,78418.59,941023.08,1127781.78,24,Education,10.72,652,52414.41,0.668393,0.099956,0.224728,0,MORTGAGE,4.89,EDUCATION,D,10.72,1.0,N,37.1,1
28,74506.18,894074.16,881712.71,36,Home,8.92,753,28004.65,0.37587,0.108699,0.089028,0,MORTGAGE,3.08,HOMEIMPROVEMENT,B,8.92,0.986174,N,10.69,1
53,77446.92,929363.04,1403328.71,24,Personal,13.26,855,66890.13,0.86369,0.106323,0.156416,0,RENT,0.87,PERSONAL,A,13.26,1.0,N,34.46,0
21,34772.8,417273.6,741970.08,9,Auto,12.16,641,86674.4,2.492592,0.079362,0.306708,0,MORTGAGE,3.0,VENTURE,D,12.16,1.0,N,4.29,0
52,45701.39,548416.68,499454.33,24,Home,10.07,721,23063.18,0.504649,0.373139,0.071311,0,OWN,1.88,HOMEIMPROVEMENT,C,10.07,0.910721,N,34.0,1
52,53752.53,645030.36,749157.37,36,Education,8.5,566,23649.05,0.439962,0.168832,0.045116,0,OWN,4.55,EDUCATION,E,8.5,1.0,N,32.99,0
52,42132.59,505591.08,670060.85,24,Education,10.01,733,30923.17,0.733949,0.143174,0.126698,0,OWN,2.68,EDUCATION,C,10.01,1.0,N,32.5,1
47,20134.99,241619.88,253645.0,12,Personal,11.45,742,22470.64,1.116,0.050197,0.154717,0,MORTGAGE,11.97,PERSONAL,B,11.45,1.0,N,31.02,0
39,24562.95,294755.4,471658.59,60,Home,9.01,627,9792.48,0.398668,0.148341,0.037895,0,MORTGAGE,1.52,HOMEIMPROVEMENT,D,9.01,1.0,N,22.29,0
49,59159.1,709909.2,443149.87,36,Personal,9.37,693,14168.8,0.239503,0.199249,0.09982,0,RENT,11.22,PERSONAL,C,9.37,0.624235,N,31.58,0
32,88739.96,1064879.52,814464.58,48,Home,11.8,702,21370.05,0.240817,0.268081,0.107659,0,OWN,14.0,HOMEIMPROVEMENT,C,11.8,0.764842,N,15.03,1
52,51823.82,621885.84,1382972.16,24,Home,10.24,812,63971.16,1.234397,0.065053,0.186711,0,OWN,1.15,HOMEIMPROVEMENT,A,10.24,1.0,N,32.66,1
43,270734.28,3248811.36,4499633.96,48,Business,11.36,736,117087.06,0.43248,0.22912,0.052973,0,MORTGAGE,5.03,VENTURE,C,11.36,1.0,N,24.55,0
39,29677.44,356129.28,478255.41,36,Home,8.5,781,15097.35,0.508714,0.184478,0.158296,0,RENT,5.71,HOMEIMPROVEMENT,B,8.5,1.0,N,20.69,1
41,67303.35,807640.2,666040.73,24,Home,8.96,733,30416.67,0.451934,0.143959,0.054122,0,RENT,2.56,HOMEIMPROVEMENT,C,8.96,0.824675,N,24.72,0
43,111828.48,1341941.76,2179944.56,24,Personal,12.98,653,103616.01,0.926562,0.236984,0.255071,0,RENT,4.91,PERSONAL,D,12.98,1.0,N,23.06,1
22,97675.52,1172106.24,1238587.1,36,Personal,14.54,488,42658.85,0.43674,0.149338,0.167056,1,RENT,4.0,PERSONAL,G,14.54,1.0,Y,4.16,1
26,76346.7,916160.4,1232676.42,9,Auto,13.4,809,144726.41,1.895647,0.05,0.200736,0,MORTGAGE,4.65,VENTURE,A,13.4,1.0,N,11.0,1
30,97944.12,1175329.44,489577.08,12,Personal,10.8,685,43224.55,0.441318,0.302565,0.084831,0,MORTGAGE,5.21,PERSONAL,C,10.8,0.416545,N,13.94,0
25,53275.75,639309.0,1052502.82,36,Home,14.82,646,36390.6,0.683061,0.105672,0.283214,1,RENT,2.1,HOMEIMPROVEMENT,D,14.82,1.0,Y,6.52,1
38,139766.58,1677198.96,2659103.94,48,Education,15.06,825,74088.11,0.530085,0.142665,0.131584,0,OWN,1.79,EDUCATION,A,15.06,1.0,N,21.27,1
47,111290.09,1335481.08,1952376.54,9,Auto,8.89,846,225049.68,2.02219,0.05,0.139555,0,MORTGAGE,16.1,VENTURE,A,8.89,1.0,N,28.01,1
47,30904.7,370856.4,453218.39,36,Personal,10.49,728,14727.88,0.476558,0.223259,0.117578,0,RENT,4.16,PERSONAL,C,10.49,1.0,N,29.97,0
39,62501.18,750014.16,1075290.51,48,Home,9.99,756,27269.03,0.436296,0.163953,0.134733,0,OWN,3.27,HOMEIMPROVEMENT,B,9.99,1.0,N,20.23,0
55,20366.0,244392.0,184492.41,24,Education,12.92,437,8764.36,0.430343,0.127232,0.066694,1,RENT,11.06,EDUCATION,G,12.92,0.754904,Y,35.63,1
43,128421.54,1541058.48,1418543.95,12,Personal,14.95,798,128000.98,0.996725,0.164129,0.122064,0,OTHER,18.16,PERSONAL,B,14.95,0.9205,N,26.2,1
24,58955.54,707466.48,1303696.34,36,Personal,13.3,561,44112.42,0.748232,0.146507,0.159272,0,OTHER,4.97,PERSONAL,E,13.3,1.0,N,6.37,0
51,115758.77,1389105.24,1602194.28,60,Home,11.63,648,35341.22,0.305301,0.167327,0.073191,0,OWN,4.18,HOMEIMPROVEMENT,D,11.63,1.0,N,33.18,0
43,48261.31,579135.72,1149925.38,60,Home,10.5,573,24718.92,0.512189,0.169794,0.133735,0,RENT,1.73,HOMEIMPROVEMENT,E,10.5,1.0,N,22.34,0
46,16919.79,203037.48,284252.5,48,Home,11.0,644,7347.05,0.434228,0.089578,0.145741,0,MORTGAGE,1.09,HOMEIMPROVEMENT,D,11.0,1.0,N,25.12,0
43,250802.37,3009628.44,2736595.83,60,Business,13.51,772,62984.65,0.251133,0.102129,0.087151,0,RENT,1.44,VENTURE,B,13.51,0.90928,N,22.69,0
43,55751.14,669013.68,417353.76,48,Auto,10.18,887,10621.89,0.190523,0.061174,0.067594,0,RENT,7.25,VENTURE,A,10.18,0.623834,N,24.43,0
24,28279.0,339348.0,677628.27,24,Business,16.7,551,33405.02,1.181266,0.05,0.175022,1,RENT,4.62,VENTURE,F,16.7,1.0,Y,4.56,1
43,102483.53,1229802.36,1482680.94,48,Business,14.72,766,41054.17,0.400593,0.178776,0.034594,0,RENT,4.74,VENTURE,B,14.72,1.0,N,25.8,0
52,174820.39,2097844.68,2532257.65,48,Personal,14.04,703,69251.01,0.396127,0.233179,0.107534,0,OWN,1.17,PERSONAL,C,14.04,1.0,N,33.96,0
33,45639.88,547678.56,254994.91,36,Personal,12.07,776,8477.51,0.185748,0.40947,0.034452,0,OWN,5.47,PERSONAL,B,12.07,0.465592,N,12.94,0
45,48555.1,582661.2,734168.1,48,Education,9.81,616,18553.97,0.382122,0.121335,0.024746,0,RENT,4.6,EDUCATION,E,9.81,1.0,N,28.89,1
22,59446.25,713355.0,1359998.38,9,Business,9.76,756,157321.66,2.646452,0.091399,0.279534,0,RENT,2.54,VENTURE,B,9.76,1.0,N,5.02,1
34,26460.75,317529.0,134522.17,36,Auto,10.8,626,4391.11,0.165948,0.253701,0.131753,0,RENT,7.41,VENTURE,D,10.8,0.423653,N,14.5,0
38,34050.48,408605.76,608256.15,48,Personal,12.93,809,16297.09,0.478616,0.172443,0.103094,0,MORTGAGE,2.45,PERSONAL,A,12.93,1.0,N,19.31,0
60,150114.79,1801377.48,1597803.24,24,Personal,10.29,727,73942.48,0.492573,0.145181,0.133136,0,OWN,9.64,PERSONAL,C,10.29,0.88699,N,43.51,1
29,47604.19,571250.28,348820.46,12,Business,11.99,883,30990.44,0.651002,0.19081,0.19583,0,MORTGAGE,3.35,VENTURE,A,11.99,0.610626,N,8.01,1
32,31177.93,374135.16,692183.04,12,Personal,11.83,592,61444.45,1.970767,0.062867,0.115491,0,RENT,4.29,PERSONAL,E,11.83,1.0,N,12.58,1
37,39291.95,471503.4,874552.16,36,Business,14.07,750,29919.03,0.761455,0.408685,0.131169,0,MORTGAGE,2.15,VENTURE,B,14.07,1.0,N,18.66,0
60,98095.25,1177143.0,2179985.78,36,Home,11.55,609,71936.81,0.733336,0.086768,0.200378,0,OWN,2.51,HOMEIMPROVEMENT,E,11.55,1.0,N,42.04,1
55,15747.89,188974.68,303426.51,24,Business,11.24,747,14176.53,0.900218,0.218999,0.113727,0,RENT,15.01,VENTURE,B,11.24,1.0,N,36.54,0
22,60041.42,720497.04,1144294.83,60,Personal,11.84,739,25363.25,0.422429,0.188326,0.14213,0,OWN,4.0,PERSONAL,C,11.84,1.0,N,5.69,1
30,225783.36,2709400.32,4518235.87,48,Business,11.84,700,118623.36,0.525386,0.076687,0.285974,0,RENT,6.77,VENTURE,C,11.84,1.0,N,9.4,1
53,174318.19,2091818.28,2496675.67,36,Home,8.5,697,78813.9,0.452127,0.244669,0.049797,0,MORTGAGE,16.5,HOMEIMPROVEMENT,C,8.5,1.0,N,34.5,1
23,72687.28,872247.36,731420.14,48,Education,9.97,860,18540.09,0.255067,0.399321,0.13764,0,OTHER,3.09,EDUCATION,A,9.97,0.838547,N,3.19,0
55,113534.9,1362418.8,2448010.53,24,Personal,12.91,722,116278.47,1.024165,0.106485,0.144528,0,OWN,1.69,PERSONAL,C,12.91,1.0,N,35.86,1
32,112881.71,1354580.52,1005233.29,36,Personal,9.71,732,32297.26,0.286116,0.134978,0.055417,0,RENT,2.41,PERSONAL,C,9.71,0.742099,N,13.6,0
57,47786.04,573432.48,240391.91,48,Personal,13.37,672,6492.98,0.135876,0.156251,0.050493,0,OWN,3.77,PERSONAL,C,13.37,0.419216,N,39.88,0
32,89758.34,1077100.08,600290.14,48,Auto,9.56,774,15098.54,0.168213,0.23602,0.111911,0,MORTGAGE,7.24,VENTURE,B,9.56,0.557321,N,12.26,0
38,150715.59,1808587.08,925098.15,36,Personal,9.96,695,29831.09,0.19793,0.150714,0.022184,0,RENT,4.01,PERSONAL,C,9.96,0.511503,N,20.33,0
